file_name,detected_text,confidence,center_coordinates,azimuth
GS__1581.JPG,",",0.0234012800953407,"(1642, 2486)",327.78
GS__1582.JPG,ال~5,0.1356163024902343,"(3028, 2210)",92.52
GS__1582.JPG,ECI,0.0262833355735008,"(2777, 1350)",69.93
GS__1583.JPG,9٢٢٤,0.206070601940155,"(3305, 1467)",117.44999999999999
GS__1583.JPG,Dr /,0.0538640275940426,"(3025, 2210)",92.24999999999999
GS__1585.JPG,٠٢٩٥١,0.4606811986843197,"(2960, 1514)",86.39999999999999
GS__1585.JPG,٢/,0.1463951720659824,"(2990, 2223)",89.1
GS__1585.JPG,,0.0,"(2364, 2353)",32.76
GS__1586.JPG,٧ ؟٤,0.0801267388122846,"(2159, 852)",14.31
GS__1586.JPG,ن7,0.1754210745882352,"(1642, 2474)",327.78
GS__1586.JPG,/,0.5752261069141618,"(3605, 2224)",144.45
GS__1587.JPG,گ,0.6209905740468145,"(3577, 2205)",141.93
GS__1587.JPG,-,0.343650145237703,"(1646, 2490)",328.14
GS__1587.JPG,,0.0,"(2521, 2377)",46.89
GS__1588.JPG,,0.0,"(1655, 2531)",328.95
GS__1588.JPG,,0.0,"(2546, 2389)",49.14
GS__1589.JPG,,0.0,"(1671, 2545)",330.39
GS__1589.JPG,,0.0,"(2599, 2407)",53.91
GS__1590.JPG,1,0.1585433078032716,"(4034, 1398)",183.05999999999997
GS__1591.JPG,;,0.0308671995917111,"(1644, 2484)",327.96
GS__1591.JPG,ش٤٥٥5,0.159771702270102,"(1892, 1589)",350.28
GS__1591.JPG,,0.0,"(2479, 2389)",43.11
GS__1592.JPG,,0.0,"(3568, 2223)",141.12
GS__1592.JPG,7,0.080453034355906,"(1640, 2477)",327.6
GS__1592.JPG,=,0.2768883808556808,"(2481, 2376)",43.29
GS__1593.JPG,,0.0,"(3723, 2228)",155.07000000000002
GS__1593.JPG,7,0.3604903602347384,"(1640, 2483)",327.6
GS__1593.JPG,,0.0,"(2523, 2382)",47.07
GS__1594.JPG,٤YPW٩,0.035839662310065,"(5451, 1656)",310.59000000000003
GS__1594.JPG,,0.0,"(2479, 2364)",43.11
GS__1594.JPG,7,0.406467109812695,"(1624, 2443)",326.15999999999997
GS__1594.JPG,T557,0.0255169589072465,"(647, 1655)",238.23000000000002
GS__1594.JPG,٥٣ب٥٢,0.1583909515074151,"(5104, 1772)",279.36
GS__1595.JPG,7,0.2902218840616264,"(1635, 2495)",327.15
GS__1595.JPG,,0.0,"(2517, 2387)",46.53
GS__1596.JPG,=?7?,0.1350018233060836,"(2231, 1345)",20.790000000000003
GS__1596.JPG,EP,0.004472010461192,"(2877, 1491)",78.93
GS__1596.JPG,٦,0.735373439988507,"(2078, 692)",7.02
GS__1597.JPG,آآد,0.205080032237979,"(3613, 1602)",145.17
GS__1598.JPG,تم,0.2335954313229203,"(2877, 1464)",78.93
GS__1598.JPG,,0.0,"(2494, 2380)",44.46
GS__1599.JPG,َِمٍّ ,0.0134990058719138,"(594, 994)",233.46
GS__1599.JPG,آنیشآ,0.2747841575555966,"(2283, 1552)",25.47
GS__1599.JPG,؟٦٥,0.2496566529211864,"(1977, 1572)",357.93
GS__1599.JPG,5,0.9202108266217692,"(1662, 2526)",329.58
GS__1599.JPG,,0.0,"(2578, 2394)",52.019999999999996
GS__1600.JPG,7,0.0976154995761504,"(1635, 2492)",327.15
GS__1600.JPG,/,0.4615555641408697,"(3665, 2218)",149.85
GS__1600.JPG,,0.0,"(2493, 2390)",44.37
GS__1601.JPG,7,0.5047723086295832,"(1647, 2495)",328.23
GS__1601.JPG,/,0.7192883820416149,"(3698, 2222)",152.82
GS__1601.JPG,,0.0,"(2509, 2391)",45.81
GS__1602.JPG,٠٤١٥5,0.0046266698345571,"(1565, 695)",320.85
GS__1602.JPG,؟,0.1338414262952989,"(5277, 872)",294.93
GS__1602.JPG,,0.0,"(2488, 2365)",43.92
GS__1603.JPG,ج,0.0110907517193075,"(5456, 1091)",311.04
GS__1603.JPG,,0.0,"(1617, 2463)",325.53
GS__1604.JPG,5,0.1132462227532551,"(1635, 2461)",327.15
GS__1605.JPG,رنبان دربابی,0.5357509506218555,"(3912, 1329)",172.07999999999998
GS__1606.JPG,م٤٨٨٥,0.1241185218206023,"(2400, 1305)",36.0
GS__1606.JPG,7,0.2540762133838861,"(1624, 2481)",326.15999999999997
GS__1606.JPG,,0.0,"(2505, 2380)",45.45
GS__1607.JPG,؟٢ مإرئت,0.0233711341479166,"(2459, 1305)",41.31
GS__1607.JPG,E»٥,0.0378591828260895,"(2247, 1318)",22.23
GS__1607.JPG,٩١٥٦ م ٤٦٩,0.8595144181145072,"(2832, 1625)",74.88
GS__1607.JPG,,0.0,"(2525, 2397)",47.25
GS__1608.JPG,9گا مارلن ,0.0542910315182768,"(2155, 1244)",13.95
GS__1608.JPG,زیبایئ  خودرو مانتل,0.1264348900734363,"(4646, 1352)",238.14
GS__1608.JPG,درانک بن,0.1158497830736544,"(4571, 1431)",231.39000000000001
GS__1608.JPG,٥٥٨٢؟٦٤٩٥,0.1553633302833242,"(2983, 1489)",88.47
GS__1608.JPG,ش٦٠٦,0.0211907621512848,"(2323, 1234)",29.07
GS__1609.JPG,٨٢ ٤٩٢٦١٥,0.0814649283211081,"(3048, 1460)",94.32000000000001
