file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude,parcel_name
GS__1687,٥0,0.2698597880868861,"(1804, 1460)",342.36,59.51407030555556,36.3398705,['11-04-146-0016']
GS__1687,IقL,0.2598427099806473,"(4134, 1666)",192.06,59.51407030555556,36.3398705,['11-04-033-0018-003']
GS__1689,7,0.2011290265983554,"(1644, 2479)",327.96,59.51433611111111,36.33982361111112,['11-04-080-0014-001']
GS__1689,/,0.4646364606485385,"(3710, 2228)",153.9,59.51433611111111,36.33982361111112,['11-04-051-0036']
GS__1690,0413,0.1963882604845215,"(3538, 1006)",138.42000000000002,59.51449111111111,36.33979569444445,['11-04-051-0036']
GS__1692,٨٨١١,0.114661194384098,"(3510, 1365)",135.9,59.51474688888889,36.3397445,['11-04-046-0005-003']
GS__1693,؟٤؟٦٨٥٢٩,0.3293541612166569,"(2321, 1539)",28.89,59.514907388888886,36.33971419444445,['11-04-039-0006']
GS__1693,7,0.6297188821518809,"(1633, 2499)",326.97,59.514907388888886,36.33971419444445,['11-04-080-0014-001']
GS__1694,گروه ساختمانی,0.922318430857252,"(4688, 1426)",241.92,59.515062,36.33968711111111,['11-04-052-0026']
GS__1694,الم,0.121383212506771,"(1145, 1489)",283.05,59.515062,36.33968711111111,['11-04-064-0041-002']
GS__1694,??,0.132652237897011,"(1261, 1387)",293.49,59.515062,36.33968711111111,['11-04-067-0007']
GS__1696,تسم,0.1947829565983463,"(2974, 1434)",87.66,59.5153485,36.3396465,['11-04-038-0004']
GS__1696,٣٤ ٦٢٤٥٧٢,0.1345881982667024,"(5609, 1795)",324.81,59.5153485,36.3396465,['11-04-080-0014-001']
GS__1696,7,0.3836182168252868,"(1642, 2483)",327.78,59.5153485,36.3396465,['11-04-135-0002-001']
GS__1696,77,0.2768610455767578,"(3640, 2222)",147.6,59.5153485,36.3396465,['11-04-051-0014']
GS__1696,=,0.2396987076926713,"(2495, 2385)",44.55,59.5153485,36.3396465,['11-04-050-0002']
GS__1697,ح,0.1966959352203368,"(1671, 2502)",330.39,59.51551388888889,36.33961561111112,['11-04-063-0008-001']
GS__1699,7,0.1924727958370278,"(1647, 2481)",328.23,59.515872888888886,36.33955769444445,['11-04-135-0007-002']
GS__1699,-,0.1605831347643525,"(2467, 2389)",42.03,59.515872888888886,36.33955769444445,['11-04-040-0004']
GS__1701,{7,0.3927186322805535,"(5647, 1748)",328.23,59.51617588888889,36.33949411111112,['11-04-053-0016-002']
GS__1702,(?٨,0.1133696803555887,"(5688, 1730)",331.92,59.51639138888889,36.33946311111112,['11-04-140-0009-001']
GS__1702,٤؟٥٧٢ ج٦٣,0.2726586587943938,"(5688, 1808)",331.92,59.51639138888889,36.33946311111112,['11-04-140-0009-001']
GS__1702,/,0.5419526662604426,"(3651, 2210)",148.59,59.51639138888889,36.33946311111112,['11-04-050-0002']
GS__1702,-,0.271328314423247,"(2519, 2384)",46.71,59.51639138888889,36.33946311111112,['11-04-050-0031']
GS__1703,٥٧٥٤ ٦٤,0.131810490402049,"(5692, 1791)",332.28000000000003,59.51656330555556,36.339436194444446,['11-04-140-0009-001']
GS__1704,T٥؛,0.33276050420448,"(5505, 1849)",315.45,59.5167287,36.339405500000005,['11-04-072-0016']
GS__1705,51,0.1920824448567322,"(3025, 2212)",92.25,59.5168803,36.33937980555556,['11-04-040-0007']
GS__1706,(٨٨,0.3961531922347776,"(5427, 1764)",308.43,59.5170214,36.33935511111111,['11-04-081-0007']
GS__1707,٣,0.1103045069073624,"(4547, 1381)",229.23,59.5171541,36.33933338888889,['11-04-064-0028-002']
GS__1707,T٥ج,0.2792881517656759,"(5415, 1801)",307.35,59.5171541,36.33933338888889,['11-04-081-0007']
GS__1707,",",0.4053904249090578,"(1631, 2488)",326.79,59.5171541,36.33933338888889,['11-04-140-0032']
GS__1708,٩٦٥٦٢م ٦٤٩,0.3950865342705625,"(3089, 1491)",98.01,59.517296,36.33930330555556,['11-04-039-0010']
GS__1708,٦٤٢٤٥٢٢٤٤,0.5286076086917483,"(5712, 1752)",334.08000000000004,59.517296,36.33930330555556,['11-04-141-0023-002']
GS__1709,عن رعاً,0.1468739388286639,"(1554, 1428)",319.86,59.5174451,36.33928111111111,['11-04-135-0002-001']
GS__1709,٥٨,0.8633745028028134,"(2038, 1431)",3.42,59.5174451,36.33928111111111,['11-04-045-0006']
GS__1709,3666680,0.1975758120097995,"(1547, 1472)",319.23,59.5174451,36.33928111111111,['11-04-135-0002-001']
GS__1709,٩١٥٦٦ ٢ ٦٦٩,0.2706655288494972,"(3037, 1525)",93.33,59.5174451,36.33928111111111,['11-04-049-0001']
GS__1710,چ,0.3597335736345144,"(1631, 2499)",326.79,59.5175586,36.33925961111111,['11-04-140-0028']
