file_name,detected_text,confidence,center_coordinates,azimuth,longitude,latitude
GS__1697,ح,0.1966959352203368,"(1671, 2502)",330.39,59.51551388888889,36.339615611111114
GS__1698,,0.0,"(2525, 2389)",47.25,59.515654194444444,36.33959880555556
GS__1699,T٥٧٢؛٣,0.0112159337801196,"(5475, 1788)",312.75,59.515872888888886,36.339557694444444
GS__1699,,0.0,"(3621, 2219)",145.89,59.515872888888886,36.339557694444444
GS__1699,7,0.1924727958370278,"(1647, 2481)",328.23,59.515872888888886,36.339557694444444
GS__1699,-,0.1605831347643525,"(2467, 2389)",42.03,59.515872888888886,36.339557694444444
GS__1700,7٨,0.0227239114074588,"(5591, 1746)",323.19,59.51601519444444,36.339527000000004
GS__1700,٠T٥٧٢ج٣,0.0364927674346334,"(5588, 1818)",322.92,59.51601519444444,36.339527000000004
GS__1700,;8,0.0238956411001221,"(1653, 2486)",328.77,59.51601519444444,36.339527000000004
GS__1700,,0.0,"(2497, 2387)",44.73,59.51601519444444,36.339527000000004
GS__1701,~,0.0019410790287534,"(1818, 1739)",343.62,59.51617588888889,36.339494111111115
GS__1701,{7,0.3927186322805535,"(5647, 1748)",328.23,59.51617588888889,36.339494111111115
GS__1701,٦٢٤٥٧٢,0.0496739853947316,"(5649, 1813)",328.41,59.51617588888889,36.339494111111115
GS__1702,(?٨,0.1133696803555887,"(5688, 1730)",331.92,59.51639138888889,36.339463111111115
GS__1702,٤؟٥٧٢ ج٦٣,0.2726586587943938,"(5688, 1808)",331.92,59.51639138888889,36.339463111111115
GS__1702,,0.0,"(1644, 2495)",327.96,59.51639138888889,36.339463111111115
GS__1702,,0.0,"(604, 861)",234.36,59.51639138888889,36.339463111111115
GS__1702,/,0.5419526662604426,"(3651, 2210)",148.59,59.51639138888889,36.339463111111115
